timeStamop, method, fileName, #c, #parking, #mm, #sev, time, objValue, gap
03-02-2026-01-38,bp,"cf3-2,3,50",50,4,2,12,855.7701179981232,930.5557574215891,/
03-02-2026-01-40,c,"ci1-3,5,50",50,7,4,9,939.6395840644836,733.0433832368814,/
03-02-2026-01-40,c,"ci2-6,4,50",50,9,5,9,960.0851049423218,807.5137636617125,/
03-02-2026-01-40,bp,"cf1-6,4,50",50,9,5,9,974.7589280605316,847.9685517401795,/
03-02-2026-01-40,bp,"ci5-6,4,30",30,9,5,7,974.0572030544281,611.2251153924108,/
03-02-2026-01-40,bp,"ce4-3,5,50",50,7,4,9,894.1249299049377,732.0783093830476,/
03-02-2026-01-41,c,"ci5-6,4,50",50,9,5,9,1033.735650062561,833.3081697422997,/
03-02-2026-01-41,bp,"ce3-3,5,30",30,7,4,6,946.2041668891907,584.8424355966068,/
03-02-2026-01-41,bp,"ci1-6,4,50",50,9,5,9,1068.5062518119812,809.5368334616915,/
03-02-2026-01-42,c,"cg4-3,5,30",30,7,4,6,1100.925343990326,542.6743468273072,/
03-02-2026-01-42,c,"ce2-2,3,50",50,4,2,12,938.8198690414429,929.5958688647884,/
03-02-2026-01-42,c,"ce1-6,4,50",50,9,5,10,975.9882700443268,806.0747425210587,/
03-02-2026-01-43,bp,"ci2-6,4,50",50,9,5,9,1193.940183877945,840.7032772371002,/
03-02-2026-01-43,c,"ci4-6,4,50",50,9,5,9,1183.9241440296173,753.5008396502908,/
03-02-2026-01-44,bp,"ci3-3,5,50",50,7,4,10,1191.6276969909668,734.8436101581707,/
03-02-2026-01-44,c,"ce1-3,5,50",50,7,4,10,1055.4140691757202,747.158171669298,/
03-02-2026-01-45,c,"ce4-6,4,50",50,9,5,9,1161.4892802238464,748.6470667756976,/
03-02-2026-01-47,bp,"ce1-2,3,30",30,4,2,7,1452.217749118805,614.8542627593885,/
03-02-2026-01-49,c,"cg1-6,4,30",30,9,5,6,1523.1875350475311,584.7583775511673,/
03-02-2026-01-49,bp,"ce1-6,4,30",30,10,5,6,1407.1467311382294,625.0335686348885,/
03-02-2026-01-50,bp,"cf4-3,5,50",50,7,4,10,1627.2004790306091,734.2386477530698,/
03-02-2026-01-51,bp,"cg2-2,3,50",50,4,2,11,1664.945895910263,869.4055745620697,/
03-02-2026-01-51,c,"ce4-3,5,50",50,7,4,9,1545.4818999767303,732.0783093830473,/
03-02-2026-01-53,c,"ci4-3,5,50",50,7,4,10,1763.027547121048,743.554675470291,/
03-02-2026-01-54,c,"ce5-6,4,50",50,9,5,9,1750.2049479484558,788.151197489532,/
03-02-2026-01-56,bp,"cf3-3,5,50",50,7,4,10,1930.984706878662,740.6913550173068,/
03-02-2026-01-58,c,"cg3-3,5,30",30,7,4,6,2065.8874769210815,578.9540100136132,/
03-02-2026-01-58,c,"cf1-6,4,30",30,9,5,6,1958.0467619895935,638.6215188597548,/
03-02-2026-01-58,c,"ci1-6,4,50",50,9,5,9,2034.7641260623932,798.3069700662265,/
